Artist,Title,Genre,Link
I AM UN CHIEN,Humanity,Electro,https://www.youtube.com/watch?v=ZLF2iR43Q1w
John Murphy,Zorba the Greek,Rock,https://www.youtube.com/watch?v=xXuPvTdIqCw
